User,Comment
@SubagyoSubagyo-h4e,"Ini kamar jeri gemana sih,klw jadi konten kreator ga usah memihak salah satu.soal goblog orang gedein otot sampai jadi bgt, paham ga jadi bgt.untuk timoty jelas buang2 waktu Krn dia fokusnya uang.trus orang yang marah di podcast Deddy jelas dia sedang sakit hati di bilang goblok dan ngapain orang itu bawa2 member AC rungkad di bahas di situ.jelas klw rungkad ya salah sendiri, timoty pasti ngasih tau koin2 apa saja yang di beli.soal mau ikut beli atau tidak tergantung membernya.dan yg terpenting timoty dan prof kalimasada kan bilang 70an persen beli nya bitcoin beli yg lain seperti tebar jala(keberuntungan) jelas banyak koin yg rungkad.dan teramat penting beli di spot jgn future karena future itu jelas judi salah prediksi ya nol habis semua modal.jadi harus pinter-pinter kita juga jgn percaya seratus persen.dan klw modal kecil jgn treding.bitcoin kan jelas awal harga berapa sekarang harganya berapa."
@dolandolin1,SUDAH KUDUGA SI BACOT TIMOTHY
@amadsubekti2278,"Logika mana orang kaya ngajak untuk orang lain menjadi kaya dengan tingkat kesuksesan 90% - 100% dengan bermain kripto, seperti Ruja Ignatofa dengan bolckchain nya fiktif,.hanya akan memfaatkan membernya sebagai bahan kekayaan mereka. Kasus TR mirip mirip memfaatkan membernya membuka kelas per member 17jt,.yang ada dibodohin semua korbannya juga kalangan gen z juga Slogannya Anak muda dengan kesuksesannya sudah bisa beli ini itu,wau hebat."
@rikoagungprasetyo2945,timothy boty
@Fbastiar,"Skyholic adalah Kamar Jeri.
Se simple itu!"
@b_s234,Hikmah nya buat generasi muda jangan mudah percaya sama tawaran menjadi cepat kaya dengan short cut jalan pintas berbayar 😅 ikut group dll. Cek N recak lagi yang dalam jadilah kritis  untuk mencari kebenaran
@agussurjanto2422,Yang konglomerat aja gak flexing.
@terryaja4848,Menurutku sih. Edukasi nya bgus boleh ditiru kyak ilmu jualan. Tp ya masalah disuruh invest duit keluar duit. Nanti dulu.😅😅😅😅😅
@haryo123,Pola ini sudah pernah di lakukan di tahun2 sebelumnya.... orang2 harus lebih bijaksana melihat orang2 yang suka flexing
@msarifin8979,Makin kurus an bang?sakit kah bang?
@HalimmmKT,"gua dibujuk2 suruh ikut trading, ngapain gua main crypto, mending buka agen gas, jelas keliatan duitnya walaupun dikit tapi cukuplah 😂"
@Kobar14,Timothy T nya tantrum..
@suryarahman594,"pppffffff... contoh kalo orang udah dikasih kaya jadi nggak tahu diri, kacang lupa kulit."
@djrian0748,"Aq nyimak sebagai org awam berasumsi "" kalo ada org rungkad dlm main judi slot trus berkoar koar nuntut admin slot nya minta tanggung jawab"" kira kira konyol ga..
nah sama seperti halnya kasus ini... Sama konyol nya apa enggak ya😅"
@nijanandapramono53,Musrik sih percaya timoohh tii
@Elias97198,Hanya orang bodoh yg percaya sama timotii... Lol
@silviani6290,"gw bukan mihak Timothy,
tapi gw heran sama lu bang, sikap lu disini sangat ga netral.
tugas lu disini tuh mengedukasi, sesuai deskripsi channel awal lu.
kalo jadi konten kreator jangan berat sebelah bang.

sekali lagi gw bukan penyepong Timothy,gw jg don't care tentang kasus dia sebenarnya,
cuman gw penasaran nyoba nonton eh malah pembahasannya berat sebelah.

Dari awal rame soal alex2n sampe berbagai kontroversi narasi lu,trus sampe detik ini kesimpulan gw Lu ga pernah dewasa' bang,

gw tau lu lama dari sebelum ada channel Kamar Jery,
lu rapper knpa gw tau? krna gw suka rapper dulu, kek Lil-O dan sebagainya."
@rohanirohani7727,Nge gym...mnrt timoty hoby nya org goblok?? Gila ya statement nya...ya gmn2 jg ngegym selain sehat jg bikin pelaku nya  body nya bagus..ga terkesan gembul dan lembek ky timoty...
@stevantrengkuan,"Cuma orang tolol yg nuker duit aseli sm duit digital. Bitcoin menggunakan teknologi peer-to-peer untuk beroperasi, tanpa otoritas pusat atau bank sentral. pengelolaan transaksi dan penerbitan bitcoin dilakukan secara kolektif oleh jaringan inget OLEH JARINGAN. So cuma bsa liatin grafik naik turun berharap kaya cepat. Wkkwkkwkk"
@PerbincanganPublik,Skyholic = Bang canggi. ngapain lu masih nanya siapa skyholic itu siapa ah kocak. Kan ada di video deddy corbuzer pernah di podcast.
@JASASEDOTWC-t5f,Jujur aja gw paling benci iklan trading lagaknya sperti mafia China dalam film.pamer kemewahan seperti org paling pinter sedunia.ujung2nya nipu.
@Jean-Pierre_Chevalier,"Itulah knp gw unsub channel ini, krn spoiler dan discaimernya kepanjangan dan berulang2....SUCK !"
@anwardray,njir brp tahun ga ke sini malah kurusan lu bang😭😭😭😭
@纪律与奉献,"sy dagang diwilayah kepulauan daerah indotimur  buka toko jual beli hasil bumi  beli kopra , jagung , bh pala ,beras dll sudah 20 thn tapi ga kaya2 hanya gali lubang tutup lubang di BANK prinsip sy yg penting masyrakat terbantu dgn usaha dagang saya mereka bisa makan sy jg bisa makan"
@NiaRamadani-i2h,Tolong pemerintah turun tangan kasian rakyatnya di tipu mulu sama   orang yang jual kelas kalo di cina ni sytimoti udah di penjara
@MochnurFadliyan,"sorry bro, biar kaya cepet itu omongan nya siapa ya bro izinn"
@siganteng9510,Nggk akan jatuh dia akan jadi salah satu orang terkaya di Indonesia nanti. Taruhan 100 juta sama saya gass. Kamar jeri sekalian kalau Timothy salah dipenjara gw kasih 1M tapi kalau enggak Lo kasih gw 1M BERANI KH KALAU BERANI GASSS😮
@Guugooclass,jika timothy ronald bisa suka2 bunuh orang buat apa ribut2 gan... mang di indonesia ada keadilan buat rakyat kecil lawan konglomerat... mana mungkin kan? kan aneh jg kalo konglo kalah?
@bajriaji2990,"Wa sampe Skrang idem
Knp yg lain PD bongkar dapur nya ya"
@HaraNewKid,"Zuma, dondy Tan, Felix Siau, Deddy Korbuzear. Gilbert Luimondong, Ruben Onsu, Richard Lee, Daniel Mananta, Mongol, Paul Zhang, Daud Toni para  Keturunan cina buat narasi presepsi seenak jidatnya aja padahal cuma mantan penjaga kuil shaolin 😂😂😂Keturunan cina semua jadi mualaf juga kaga ngaruh Yesus Kristus  juga sudah merencanakan itu semua terjadi karena mereka suka menjual Kristus untuk harta,  semua keturunan Cina PENIPU😂😂😂"
@followtrend2474,"Tolong angkat kasus DANA SYARIAH INDONESIA (DSI) dong Min, Resmi lisensi OJK, kasian banyak korbannya nih, Bantu Kawal terus"
@randomthingalba,"PLOT TWISTNYA , SKYHOLIC IS EDRIC KHONG 💯💯💯💯💯💯"
@aulhdyt8797,"Kan si TR sendiri yang bilang kalo “sekolah” itu sesat.

Dia sendiri yang buktiin di “sekolah”, (bilangnya akademi ya bukan sekolah) kripto yang dia bikin. Kocak si TR. 😂"
@AhmadSaepul-c5d1i,😅
@JonPurba-s9o,"Dulu juga Indra Kenz seperti Timoty ini, sombong, pamer kemewahan, mengajak anak2 muda bermain binomo yg juga scam, kok bisa muncul selalu generasi Gen z lagi di negara konoha ini yg merusak mental generasi muda, kalau ketemu Kang Dedi muliadi ini akan di masukkan ke barak militer, biar tau rasa nanti"
@YANFREDICK,TITIK TERENDAHNYA RAKYAT INDONESIA ADALAH PERCAYA PADA TIMOTHY
@bncchanel5911,Skyholic = bjorka mungkin
@salmanabdi7915,Hanya orang super tolol yang meyakini bahwa kripto itu adalah kendaraan investasi !!!
@juwitaanggraini5320,"Netral dong kalo mau bahas bang,nyudutin banget abangnya,,Kaya dendam pribadi"
@pradschannel,"Orang pintar pasti berbicara elegan dan tidak merendahkan orang lain.
Tapi si timoti itu manusia dengan ucapan yang buruk dan itu cukup untuk mengetahui ifat aslinya.
Orang kaya jelas memiliki perusahaan yg nyata dan usaha yg tidak singkat juga.tapi si timoti itu dia bukan siapa"" dia hanya pintar ngomong untuk mempengaruhi orang lain sehingga banyak orang yg tertipu dengan ucapannya tanpa menelusuri latar belakangnya terlebih dahulu.
Ngomongny tinggi tidak sesuai faktanya karena dia hanyalah alat dan ada orang besar dibelakang layar.
Seandainyapun dia punya uang itu karena kebetulan saja dimana pas bitcoin sedang naik yaitu ketika tahun 2017 yg masih sekitar 1000dolar tembus ke 64ribu dolar pada 2021 dan yg saat itu kebetulan punya uang dan membeli bitcoin pastilah mengalami keuntungan berpuluh kali lipat.jadi kalau sekarang ingin meniru keberuntungan itu ya jelas tidak akan bisa."
@denywijaya4601,Gawat dan kasian orang2
@keripikgedang9620,https://youtu.be/8tTa_kh_-Bg?si=2OcpHQ08DkTr4O5i
@SimonSipeniupSalju-h9e,Timothy akan mati tragis saat nanti di sel..
@abdisatria9821,Tangkap T.R. hotmon puras pasang badan
@Ndrarevenge,😂😂😂😂
@mayaaprilia3556,❤❤❤❤
@aula_sahara,Nasib bukan Raymond chen 😅 karna saya sering tgk channel beliau
@weliagusni3732,"dari awal dia mulai sombong di media sosial, di situlah saya yakin akan terjadi sesuatu di masa depan, ingat indra kenz"
@andrewgiovanni3757,"U t*l*l c menurut gw loh Bang, semua yg u cerita kan sumber dari omongan dia doank"
@KENIXII,biar lebih jelas gush aiueo langsung saja telusuri aliran uangnya karena sejak indosurya keungkap 500T pada tahun 2020 tiba2 keluar lah influencer2 atau selebgram2 atau penjual2 skincare yang atau youtuberr2 yang flexing
@NinvkNinvk,Dari dulu saya dah merasa ni tipu.scamm forex
@WaynJon,"Jeff Bezos nanya Warren Buffett kenapa banyak orang tidak meniru strategi investasi Warren Buffett yang simpel?
Warren Buffett's response: ""Because nobody wants to get rich slow"".

pengennye secara instan ya jadinya gitu..."
@No_name-m2h,Jangan jangan sky holic adalah anaknya purbaya 🗿
@BebasOpini,Mampir kesini ternyata ronald timothy berhasil ditangkep 😂🤣🤣🤣 bentar lagi baju orangye 🎉
@asepgumelargumelar605,Maen trading dr th 90 slalu indah teorinya saat ikut trading moapapaun namanya itu sama judi dr 1000 orang yg ikut paling 1 yg sukses judulnya ga bisa sukses bareng 3 yang pasti begitu praktek ya loss bukanya untung...ni dr th 90 ann
@fahrulanur,"terimakasih timoty dan andry hakim, jadi tau cara uang bekerja.. disekolah dan universitas ga diajarkan investasi bitcoin, emas dan saham.."
@mangmudins,Tim yg gk nonton konten Timothy Cellemet.👇👇👇
@WenKiizz,Tiboti Si anj 😂😂
@hardihandayani7176,"Yang saya dengar figur yang jadi pergunjingan masyarakat crypto,konon khabarnya TIDAK BERLICENSI = BERSERTIFIKAT = BERIJAZAH..!!! Sebab licensi= sertifikat= ijazah sebagai tanda seseorang layak atau syah menjalankan aktivitasnya..! Sebagai contoh : Seorang sopir/pengendara yang di-licensi itu ketrampilan membawa kendaraan..! Seorang guru/pengajar yang di-sertifikasi itu keilmuannya yang TIDAK MENIMBULKAN KERUGIAN MASYARAKAT...! Jika  seseorang TIDAK BERSERTIFIKAT menjalankan aktivitasnya,itu menimbulkan kecurigaan yang sangat akut, alias TIDAK BER-ETIKA..!!! Boleh percaya boleh juga tidak..!"
@KomikoML-l5k,Motivator itu cuman lah seorang penjual mimpi
@fanchobrigatista1011,Penjarakan penipu
@SidikAlfarisi-g3t,"𝘮𝘯𝘶𝘳𝘶𝘵 𝘴𝘢𝘺𝘢 𝘰𝘳𝘨 𝘢𝘸𝘢𝘮... 𝘵𝘪𝘮𝘰𝘵𝘺 𝘪𝘯𝘪 𝘢𝘥𝘢 𝘥𝘦𝘢𝘭 𝘥 𝘣𝘭𝘬𝘨 𝘥𝘯𝘨𝘢𝘯 𝘣𝘳𝘰𝘬𝘦𝘳... 
𝘵𝘪𝘮𝘰𝘵𝘺 𝘮𝘦𝘮𝘢𝘯𝘧𝘢𝘢𝘵𝘬𝘢𝘯 𝘬 𝘬𝘶𝘳𝘢𝘯𝘨𝘯𝘢𝘯 𝘪𝘭𝘮𝘶 𝘵𝘳𝘢𝘥𝘪𝘯𝘨 𝘱𝘢𝘳𝘢 𝘮𝘦𝘮𝘣𝘦𝘳 𝘥𝘢𝘯 𝘧𝘢𝘯𝘴𝘯𝘺𝘢... 𝘬𝘳𝘯𝘩𝘮𝘱𝘪𝘳 𝘴𝘦𝘮𝘶𝘢 ""𝘵𝘢𝘮𝘢𝘬""... 𝘬𝘳𝘯 𝘵𝘢𝘮𝘢𝘬 𝘪𝘯𝘪 𝘢𝘥𝘢 𝘥 𝘪𝘴𝘵𝘪𝘭𝘢𝘩 𝘥 𝘵𝘳𝘢𝘥𝘪𝘯𝘨... 𝘵𝘵𝘨𝘱𝘯𝘨𝘦𝘯𝘥𝘢𝘭𝘪𝘢𝘯 𝘦𝘮𝘰𝘴𝘪... 
𝘬𝘳𝘯 𝘣𝘯𝘺𝘢𝘬 𝘵𝘳𝘢𝘥𝘦𝘳 𝘪𝘵𝘶 𝘣𝘪𝘴𝘢 𝘮𝘢𝘩𝘪𝘳 𝘬𝘳𝘯 𝘣𝘦𝘳𝘵𝘢𝘩𝘶𝘯2 𝘥𝘢𝘯 𝘪𝘭𝘮𝘶𝘯𝘺𝘢 𝘢𝘥𝘢... 
𝘫𝘥 𝘳𝘶𝘯𝘨𝘬𝘢𝘥 𝘪𝘵𝘶 𝘣𝘪𝘢𝘴𝘢 𝘵𝘦𝘳𝘫𝘢𝘥𝘪 𝘱𝘥 𝘵𝘳𝘢𝘥𝘦𝘳 𝘣𝘦𝘨𝘪𝘯𝘦𝘳 𝘭𝘶𝘤𝘬... 𝘬𝘳𝘯𝘵𝘬 𝘣𝘪𝘴𝘢 𝘮𝘯𝘨𝘦𝘯𝘥𝘢𝘭𝘪𝘬𝘢 𝘦𝘮𝘰𝘴𝘪( 𝘵𝘢𝘮𝘢𝘬) 𝘮𝘳𝘬 𝘢𝘬𝘢𝘯 𝘢𝘭𝘭 𝘪𝘯... 𝘵𝘢𝘯𝘱𝘢𝘮𝘯𝘨𝘦𝘯𝘥𝘢𝘭𝘪𝘬𝘢𝘯 𝘭𝘰𝘵 𝘴𝘪𝘻𝘦... 𝘱𝘥𝘢𝘩𝘢𝘭  𝘥𝘢𝘳𝘪 𝘣𝘦𝘨𝘪𝘯𝘦𝘳 𝘬𝘦 𝘳𝘪𝘤𝘩 𝘪𝘵𝘶 𝘢𝘥𝘢 𝘣𝘯𝘺𝘢𝘬 𝘴𝘦𝘬𝘢𝘭𝘪 𝘵𝘢𝘯𝘨𝘨𝘢 𝘺𝘨 𝘩𝘳𝘶𝘴 𝘥 𝘭𝘦𝘸𝘢𝘵𝘪... 𝘸𝘭𝘸 𝘮𝘮𝘨 𝘢𝘥𝘢 𝘤𝘢𝘤𝘪𝘯𝘨 𝘤𝘢𝘤𝘪𝘯𝘨 𝘯𝘢𝘨𝘢 𝘯𝘢𝘨𝘢... 𝘦𝘯𝘵𝘢𝘩 𝘣𝘨𝘢𝘪𝘮𝘢𝘯𝘢 𝘵𝘪𝘮𝘰𝘵𝘺 𝘪𝘯𝘪 𝘣𝘪𝘴𝘢 𝘴𝘱𝘳𝘵𝘪 𝘥𝘦𝘸𝘢 𝘤𝘳𝘺𝘱𝘵𝘰... 𝘱𝘥𝘢𝘩𝘢𝘭𝘮𝘢𝘴𝘪𝘩 𝘢𝘥𝘢 𝘺𝘨 𝘭𝘦𝘣𝘪𝘩 𝘫𝘢𝘨𝘰 𝘥𝘢𝘯 𝘬𝘢𝘺𝘢 𝘥𝘢𝘳𝘪 𝘥𝘪𝘢... 𝘵𝘱𝘥𝘢𝘳𝘪 𝘫𝘦𝘫𝘢𝘬 𝘳𝘦𝘬𝘢𝘮𝘯𝘺𝘢... 𝘮𝘮𝘯𝘨𝘫𝘪𝘸𝘢 𝘴𝘦𝘰𝘳𝘢𝘯𝘨 𝘢𝘮𝘣𝘪𝘴𝘪𝘶𝘴 𝘱𝘦𝘮𝘶𝘫𝘢 𝘶𝘢𝘯𝘨... 
𝘵𝘱 𝘦𝘯𝘵𝘢𝘩 𝘣𝘨𝘢𝘪𝘮𝘢𝘯𝘢 𝘮𝘶𝘯𝘤𝘶𝘭 𝘩𝘢𝘭 𝘴𝘱𝘦𝘳𝘵𝘪 𝘪𝘯𝘪..... 𝘺𝘨𝘴𝘢𝘺𝘢 𝘣𝘪𝘭𝘢𝘯𝘨 𝘵𝘪𝘮𝘰𝘵𝘺 𝘥𝘢𝘯 𝘣𝘳𝘰𝘬𝘦𝘳 𝘢𝘥𝘢 𝘥𝘦𝘢𝘭... 𝘬𝘳𝘯𝘴𝘢𝘢𝘵 𝘮𝘮𝘣𝘦𝘳 𝘳𝘶𝘯𝘨𝘬𝘢𝘥... 𝘣𝘳𝘰𝘬𝘦𝘳𝘭𝘢𝘩 𝘺𝘨 𝘥𝘶𝘭𝘶𝘢𝘯 𝘶𝘯𝘵𝘶𝘯𝘨... 𝘭𝘢𝘭𝘶𝘵𝘪𝘮𝘰𝘵𝘺 𝘥𝘱𝘵 𝘴𝘢𝘸𝘦𝘳𝘢𝘯 𝘥𝘢𝘳𝘪 𝘣𝘳𝘰𝘬𝘦𝘳... 𝘵𝘱 𝘥𝘨𝘯 𝘬𝘦𝘬𝘢𝘺𝘢𝘢𝘯 𝘵𝘪𝘮𝘰𝘵𝘺... 𝘢𝘱𝘢𝘬𝘢𝘩𝘴𝘢𝘸𝘦𝘳𝘢𝘯 𝘥𝘢𝘳𝘪 𝘣𝘳𝘰𝘬𝘦𝘳 𝘪𝘵𝘶 𝘣𝘦𝘳𝘢𝘳𝘵𝘪 𝘣𝘢𝘨𝘪 𝘵𝘪𝘮𝘰𝘵𝘺...?? 
𝘪𝘵𝘶 𝘩𝘯𝘺𝘢 𝘱𝘢𝘯𝘥𝘢𝘯𝘨𝘢𝘯 𝘴𝘢𝘺𝘢 𝘴𝘣𝘨𝘢𝘪 𝘰𝘳𝘨 𝘢𝘸𝘢𝘮..."
@DodikKurniawan-z1l,Masak iya orang kaya ajak2..kalo gak punya tujuan memperdaya
@UciPully,"Apapun itu Timothy Harus menanggung akibatnya, bisnis model Timothy itu ponzy scheme, jika anda Terima uang anda menjual produk. Artinya produk anda palsy alias malware. Jika yg dirugikan lebih Dari 10 orang itu sudah cukup memenjarakan Timothy Dan menyita hartanya untuk dikembalikan pada yg dirugikan. Itu Keadilan.Camkan itu hotmen. Gue Dari dulu Dah eneg dengan lawyering mu hotmen😊"
@anggunpurizza5535,Klo lo disuruh beli coin A B C itu karena dia udah beli duluan cuma harganya belom naik signifikan kd disuruhlah orang2 beli biar hargnya naik trus dia bakal ngejualin yg udah dia beli dulu... klian dapat apa???? Dapat ampas
@jlz0713,awas aja kalo anaknya diskolain.. 😂
@SafuanKinoy,Yg ikut timoty tu bodoh
@biasaaja900,lagian kalo udah kaya raya butuh validasi bgt njirr 😅
@IndiraYahya,"Thimothy itu kena penyakit mental kali ya,suka muji muji dirinya sendiri paling pintar dan memandang rendah dan  bodoh utk org yg suka nge gym,jangan jangan dia adalah ibarat Chen Ze berikutnya 😅"
@lutfiefriyanto7504,Orang CHINA EMANG PALING JAGO KLO NIPU
@apriyantisofiyani4056,The nekk indra kenz ke 2 ni hahaha
@mochibambang244,Indrakenz lah kemungkinan besar logika aja siapa yang punya duit sebanyak itu di blockchainnya emang member ac punya kan pada rungkad semua kalau pas apinya ya pasti gak bakal ngelapir udah pasti yang punya ya orang kaya yang emang punya dendam sama timonthy dan satu satunya ornag yang punya duit sebanyak itu kan cuma ik dan kawan kawan aja siapa lagi coba itu tuh sebenarnya duitnya si ik yang belom sempet ke sita waktu kasus binomo yang sempet disembunuiin lah digunain buat bayar buzzer biar dapat dukungan dari member ac yang rungkad member member paguyuban ac lah dibayar lah toh buktinya kan dia mau ngasih duit ke orang yang mau laporan kerugiannya Trading pakai signal ac yang kerugiannya diatas 250 juta dengan iming iming dikasih duit asal semua buktinya dikasih ke skyholic ini ya pasti siapa lagi yang punya duit sebanyak ini selain skyholic 888
@AizKetari05,"semua kata2 timothy hanya untuk org yg bisa menerima teguran, jika merasa terkesan, maknanya IQ kalian masih dibawah."
@kokoreza4949,"aku korban crypto yg habis 300jt, cuma mau kasih saran, crypto itu sama ajh dgn judi, sperti kasus indra kenz, sama Doni salmanan, cuma ini ilmonya di bungkus lebih rapih, buat memperbodoh orang, yg join crypto GK bakalan sukses, pasti rungkad semua, buat kalian mending GK usah join, cukup aku yg jadi korban😢😢"
@exelfer081,"Dia itu branding diri, jadi orang pintar padahal orang pintar gak seperti gitu😅,"
@trif_2025,Kenapa jadi isinya  gibah...bukannya bahas masalah penipuannya timothy
@Abe_AI_247,Njir lama xtgk channel dia daa kurus xkenal td kalu xtgk balik betul2
@SarwanUhi,intinya berhati hati lah saat menggunakan sosmed jangan gampang terbujuk rayuan bisnis
@TiFa-s4y,Kayaknya manusia manusia yang hidup di Konoha asalkan ada orang pintar ngomong dan kebetulan ada uang nya ntah uangnya darimana selalu di percaya dan di ikuti padahal udah sering kena tipu .
@yk65y_art,Bang gua request bawa kasus yg lagi viral itu BG yg naik gunung ke Slamet itu
@akukuy-d6m,"Begitulah kalau udah merasa hebat ,  suka merendahkan orang lain"
@rajacuan-eb7nn,"Ngga perlu kita tunjukan Token yg potensi,  

apalagi  token baru yg belum  terdistribusi 100% dari total suplainya"
@singkonggosong,"Sebenarnya ga salah Timothy yg salah itu orang rakus yang percaya sama dia😂😂, saya sangat yakin 95% yg percaya timoty manusia yang rakusss, tamak, bin kikir"
@onearies7612,udah mending kalian gabung pt best aja gua 1 bulan dapat mobil
@onepi-n3y,"Lihat dari wajah timoty aja ketahuan, orangnya blak-blakan meski gak ada isinya atau gak sesuai realita. Ekspresinya datar aja sama kaya orang phisikopat tapi dalam dunia bisnis ya mirip koruptor yg makan uang masyarakat kecil cuma bedanya dia makan orang yg udah lumayan cerdas menurut saya. Itulah phisikopat sebenarnya."
@wulanpanggabean1804,semua kembali pada kita masing²
@jokosantosa4063,"Kalau bidang marketing dan sosial emang SMA dah cukup.
Tapi kalau untuk sukses bidang eksakta atau tekni k kuliah sangat mendukung"
@zakiahri2252,kontol lu
@stenlykufla8546,Indra Kenz Jilid II
